day,hour,n_trades,high_price,low_price,btc_volume,usd_volume,candel_open_time,candel_close_time
23,19,3959,105552.0,103411.07,123.88425047,12943027.920930963,1737658987018,1737662399410
23,20,13466,106539.96,102632.48,646.26867554,67568502.1799584,1737662402565,1737665999243
23,21,4628,103489.69,102275.32,128.66178261,13246997.53158798,1737666000019,1737669599769
23,22,1680,104717.95,103045.04,58.79189157,6102619.728063269,1737669601348,1737673196409
23,23,1325,104561.43,103818.91,53.44888171,5570917.040254784,1737673200046,1737676790435
24,0,1733,104163.33,103409.36,52.64270653,5463804.704804895,1737676800239,1737680368150
24,1,1083,103894.41,103034.56,24.64550036,2549817.3753917753,1737680401986,1737683992421
24,2,1031,103508.64,102961.34,17.47704327,1804101.0353354772,1737684001670,1737687591413
24,3,1470,104280.52,102758.49,31.48014872,3260163.893753324,1737687612155,1737691193682
24,4,1259,104913.37,103790.22,21.67897634,2261367.8304315284,1737691209019,1737694799358
24,5,1434,105250.0,104548.25,35.09623148,3681757.1495609703,1737694800245,1737698397957
24,6,1328,105346.98,104621.96,25.94370489,2722311.0344956494,1737698403906,1737701958996
24,7,1598,105200.01,104655.64,44.95862419,4718686.274077039,1737702003386,1737705587457
24,8,705,105640.5,104920.48,23.04340474,2424629.5936242966,1737705600113,1737709174371
24,9,1144,105790.52,105067.99,27.48763735,2898290.25961343,1737709200028,1737712794563
24,10,607,105476.42,105073.96,16.98782809,1788664.4782412003,1737712800268,1737716367823
24,11,1246,105552.39,105222.44,29.74697051,3135367.609266784,1737716412232,1737719998856
24,12,889,105612.52,105202.47,15.47278812,1630798.9479511702,1737720000031,1737723582221
24,13,1636,105799.98,104978.77,39.7169874,4179720.944855354,1737723614004,1737727188583
24,14,3093,106319.99,104675.84,118.05284739,12455734.291542063,1737727201974,1737730799620
24,15,3278,106039.24,105248.2,105.44852518,11151666.705453765,1737730800523,1737734396796
24,16,2100,106200.0,105619.61,79.2411812,8399883.85136228,1737734405279,1737737996503
