day,hour,n_trades,high_price,low_price,btc_volume,usd_volume,candle_open_time,candle_close_time
25,2,151,104765.06,104449.93,1.07686078,112651.5866833345,1737771661019,1737773900461
25,3,413,105242.61,104445.11,5.64484131,592489.6775083462,1737774002903,1737777599311
25,4,224,105152.33,104607.39,1.35688648,142293.7705624899,1737777612831,1737781196171
25,5,387,104654.88,104253.24,3.15725,329946.8037318978,1737781269891,1737784742364
25,6,307,104435.59,104200.0,2.7982845,291956.0549318153,1737784803455,1737788119143
25,7,232,104487.04,104274.5,3.72931969,389406.35342664353,1737788444446,1737791983420
25,8,141,104469.83,104146.06,2.6814796199999997,279700.53801901604,1737792019767,1737795501671
25,9,128,104440.48,104265.9,3.98109664,415561.25032725104,1737795640138,1737798971552
25,10,110,104561.85,104146.58,0.7955329800000001,82995.16395264611,1737799213695,1737802723783
25,11,132,104680.88,104381.73,1.63045555,170327.47890816932,1737802920223,1737806274594
25,12,109,104756.84,104459.49,0.73257645,76596.1372999256,1737806431166,1737809974707
25,13,174,104853.18,104633.15,1.48524103,155592.6515852576,1737810007679,1737813563277
25,14,263,104720.12,104476.82,1.49422832,156275.0239554537,1737813636909,1737817166063
25,15,623,105086.17,104590.44,10.8412624,1137171.6735848535,1737817210155,1737820757654
25,16,467,104977.83,104569.9,17.11762834,1792579.948613683,1737820805728,1737824281357
25,17,393,104932.94,104479.97,9.43614829,987522.1928432706,1737824402511,1737827994888
25,18,531,105275.96,104839.85,13.02984867,1368116.4485924747,1737828011341,1737831501235
25,19,334,105172.02,104913.48,6.22912209,654407.7390478415,1737831602715,1737835168845
25,20,145,105177.94,104937.07,1.50407097,158011.2222090483,1737835213669,1737838792724
25,21,295,105122.46,104861.55,8.11681377,852218.6839536286,1737838809666,1737842369361
25,22,246,105250.0,104974.24,7.93159019,834121.934819949,1737842518143,1737845966093
25,23,280,105125.49,104710.93,4.86411858,510136.30186499533,1737846064720,1737849563766
26,0,218,104829.66,104517.4,2.86109371,299452.20484360977,1737849600057,1737853095843
26,1,318,104743.22,104513.52,3.29359879,344528.1403531265,1737853214146,1737856788856
26,2,239,104698.77,104513.52,2.19339004,229496.77948348311,1737856814192,1737860398021
26,3,248,105210.03,104670.0,8.66878588,910206.5268987407,1737860469087,1737863990041
26,4,240,105448.87,104972.41,4.25302556,447559.1788102995,1737864015063,1737867595716
26,5,100,105181.62,104993.95,0.5333293,56051.1135013199,1737867601555,1737871193270
26,6,95,105099.75,104957.1,1.05136359,110439.3060156792,1737871221443,1737874702923
26,7,56,105062.05,104928.03,0.3789558,39777.8336824398,1737874817154,1737878092691
26,8,147,105182.27,104888.88,1.48638499,156048.3265199888,1737878415015,1737881810996
26,9,266,104989.61,104453.53,3.03724829,317779.1793051644,1737882145763,1737885544829
26,10,86,104703.91,104493.59,1.08911793,113950.8678593417,1737885685383,1737889179998
26,11,121,104835.84,104658.75,1.17122576,122660.4651949919,1737889225218,1737892796650
26,12,74,104861.54,104700.6,0.5076167,53176.995038257104,1737892802068,1737896372054
26,13,232,105019.71,104855.03,1.63198039,171277.8699359795,1737896474192,1737899999070
26,14,163,104999.29,104794.63,1.22258436,128252.6993812281,1737900016360,1737903584070
26,15,287,105043.26,104876.66,2.6799700300000002,281351.5424443524,1737903638759,1737907168700
26,16,159,105013.13,104882.22,1.38291173,145125.7422747186,1737907237395,1737910791388
26,17,242,105028.08,104919.56,2.81203728,295146.6750927511,1737910811849,1737914339052
26,18,305,105242.13,104905.71,5.25730737,552410.1053612244,1737914406605,1737917989741
26,19,236,105215.84,105017.06,6.24482304,656413.529562181,1737918020120,1737921596592
26,20,261,105186.76,104896.48,4.42533944,464766.5047500802,1737921623459,1737925174106
26,21,437,104983.81,104548.69,11.19417658,1173176.8788558275,1737925213553,1737928775781
26,22,863,104695.74,104285.86,37.43401058,3911442.4449458905,1737928801548,1737932383441
26,23,3293,104316.33,102470.6,174.50636815,18042449.04405225,1737932400011,1737935998718
27,0,2964,103245.39,101530.14,78.8467346,8068553.724084776,1737936002105,1737939599907
27,1,3266,102027.96,101048.1,100.34115265,10192793.845080616,1737939600208,1737943198177
27,2,2437,101627.47,100700.0,76.76811148,7757573.316097045,1737943201165,1737946796032
27,3,1338,101817.06,100636.36,40.59441671,4109780.1030605775,1737946802672,1737950399509
27,4,2304,101359.23,100200.01,57.59309265,5798883.839633834,1737950400244,1737953999868
27,5,2347,100680.58,99684.04,54.53691542,5461611.083157142,1737954001107,1737957593847
27,6,2285,100475.42,98692.4,57.40463125,5711348.434727876,1737957601637,1737961195004
27,7,2681,99361.46,97693.84,95.24385647,9377667.369434739,1737961203491,1737964795046
27,8,1473,99322.16,98675.44,46.92972526,4645429.630836065,1737964800028,1737968380583
27,9,1919,99513.24,98761.42,62.15020275,6160584.964956584,1737968400014,1737971991645
27,10,2064,99412.64,98209.94,59.83268458,5913904.673891864,1737972004499,1737975592511
27,11,2352,99293.72,98302.34,59.91493617,5921154.121426906,1737975600709,1737979199853
27,12,2722,100855.0,98673.3,66.48697473,6603271.135890451,1737979200005,1737982790548
27,13,3005,101688.4,100005.0,155.29521499,15676616.586565666,1737982803496,1737986393178
27,14,2570,102341.44,100116.46,97.60827,9865267.943994809,1737986400438,1737989999903
27,15,3043,102124.52,100884.97,94.86791987,9632539.575288221,1737990005136,1737993598270
27,16,3021,101244.09,99520.22,79.36845909,7971125.372302835,1737993604746,1737997198482
27,17,3261,100009.76,99002.0,91.64010245,9120514.254972767,1737997202035,1738000798404
27,18,3812,99704.21,98800.01,154.05662519,15282063.658186378,1738000800283,1738004396188
27,19,2453,99894.39,99080.66,75.4822727,7505989.016656419,1738004400188,1738007975070
27,20,5383,101754.0,99553.38,224.04428509,22563624.264278807,1738008004526,1738011599760
27,21,4166,102429.32,100884.97,164.7724358,16776202.59103175,1738011600362,1738015193504
27,22,1074,101944.41,101267.73,34.53061754,3505953.821226637,1738015200249,1738018762321
27,23,976,102171.0,101646.77,32.94738556,3358643.265692503,1738018801096,1738022396517
28,0,1464,102910.58,101736.88,79.14497298,8098582.223638657,1738022400161,1738025995552
28,1,705,101991.87,101387.6,17.239784320000002,1753082.4370717902,1738026007801,1738029598666
