day,hour,high_price,low_price,btc_volume,usd_volume,candel_open_time,candel_close_time
30,2,104673.26,104075.33,8.93518238,933865.3220923614,1738203660000,1738205940000
30,3,105150.0,104520.52,82.25478454,8596902.401233906,1738206000000,1738209540000
30,4,105250.0,104746.69,115.22654229,12042963.137506764,1738209600000,1738213140000
30,5,105400.0,105031.04,46.14372318,4822735.684330985,1738213200000,1738216740000
30,6,105587.12,105142.13,48.7511168,5095248.810443904,1738216800000,1738220340000
30,7,105341.28,104829.14,21.31990787,2228261.470584221,1738220400000,1738223940000
30,8,105352.63,104930.21,18.25060963,1907472.138302554,1738224000000,1738227540000
30,9,105540.38,105002.42,15.92654083,1664570.8559140898,1738227600000,1738231140000
30,10,105437.56,105105.42,17.25822667,1803752.707275185,1738231200000,1738234740000
30,11,105400.54,105052.99,14.49481235,1514932.9950107955,1738234800000,1738238340000
30,12,105282.25,104837.55,17.71817531,1851824.4831575642,1738238400000,1738241940000
30,13,105356.0,104808.6,41.31925702,4318504.046651521,1738242000000,1738245540000
30,14,106250.0,104620.32,109.44682942,11438893.383650891,1738245600000,1738249140000
30,15,106483.2,105381.46,145.27529713,15183524.67544943,1738249200000,1738252740000
30,16,106049.93,105477.38,54.71421936,5718485.634946661,1738252800000,1738256340000
30,17,105700.0,104923.05,59.82235413,6252365.047744639,1738256400000,1738259940000
30,18,105649.0,104747.4,87.73863665,9170050.110952174,1738260000000,1738263540000
30,19,105835.41,105281.15,69.37616472,7250886.625078102,1738263600000,1738267140000
30,20,105864.92,104832.72,137.71840373,14393711.956594925,1738267200000,1738270740000
30,21,105260.55,104831.73,43.91363931,4589657.286713484,1738270800000,1738274340000
30,22,105342.47,105017.8,21.59393274,2256901.3251054524,1738274400000,1738277940000
30,23,105285.61,104701.0,34.79358902,3636470.3970274804,1738278000000,1738281540000
31,0,105071.71,104145.83,69.95375237,7311253.504439306,1738281600000,1738285140000
31,1,104914.74,104401.95,24.24390707,2533864.796691797,1738285200000,1738288740000
31,2,104906.01,104547.77,13.520920519999999,1413146.1742356757,1738288800000,1738290000000
